"","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"1","1","0","3","Braund,_Mr._Owen_Harris","male",22,1,0,"A/5_21171",7.25,"","Southampton"
"2","2","1","1","Cumings,_Mrs._John_Bradley_(Florence_Briggs_Thayer)","female",38,1,0,"PC_17599",71.2833,"C85","Cherbourg"
"3","3","1","3","Heikkinen,_Miss._Laina","female",26,0,0,"STON/O2._3101282",7.925,"","Southampton"
"4","4","1","1","Futrelle,_Mrs._Jacques_Heath_(Lily_May_Peel)","female",35,1,0,"113803",53.1,"C123","Southampton"
"5","5","0","3","Allen,_Mr._William_Henry","male",35,0,0,"373450",8.05,"","Southampton"
"6","6","0","3","Moran,_Mr._James","male",31.7763809500533,0,0,"330877",8.4583,"","Queenstown"
"7","7","0","1","McCarthy,_Mr._Timothy_J","male",54,0,0,"17463",51.8625,"E46","Southampton"
"8","8","0","3","Palsson,_Master._Gosta_Leonard","male",2,3,1,"349909",21.075,"","Southampton"
"9","9","1","3","Johnson,_Mrs._Oscar_W_(Elisabeth_Vilhelmina_Berg)","female",27,0,2,"347742",11.1333,"","Southampton"
"10","10","1","2","Nasser,_Mrs._Nicholas_(Adele_Achem)","female",14,1,0,"237736",30.0708,"","Cherbourg"
"11","11","1","3","Sandstrom,_Miss._Marguerite_Rut","female",4,1,1,"PP_9549",16.7,"G6","Southampton"
"12","12","1","1","Bonnell,_Miss._Elizabeth","female",58,0,0,"113783",26.55,"C103","Southampton"
"13","13","0","3","Saundercock,_Mr._William_Henry","male",20,0,0,"A/5._2151",8.05,"","Southampton"
"14","14","0","3","Andersson,_Mr._Anders_Johan","male",39,1,5,"347082",31.275,"","Southampton"
"15","15","0","3","Vestrom,_Miss._Hulda_Amanda_Adolfina","female",14,0,0,"350406",7.8542,"","Southampton"
"16","16","1","2","Hewlett,_Mrs._(Mary_D_Kingcome)_","female",55,0,0,"248706",16,"","Southampton"
"17","17","0","3","Rice,_Master._Eugene","male",2,4,1,"382652",29.125,"","Queenstown"
"18","18","1","2","Williams,_Mr._Charles_Eugene","male",29.0322141118381,0,0,"244373",13,"","Southampton"
"19","19","0","3","Vander_Planke,_Mrs._Julius_(Emelia_Maria_Vandemoortele)","female",31,1,0,"345763",18,"","Southampton"
"20","20","1","3","Masselmani,_Mrs._Fatima","female",28.831403555655,0,0,"2649",7.225,"","Cherbourg"
"21","21","0","2","Fynney,_Mr._Joseph_J","male",35,0,0,"239865",26,"","Southampton"
"22","22","1","2","Beesley,_Mr._Lawrence","male",34,0,0,"248698",13,"D56","Southampton"
"23","23","1","3","McGowan,_Miss._Anna_""Annie""","female",15,0,0,"330923",8.0292,"","Queenstown"
"24","24","1","1","Sloper,_Mr._William_Thompson","male",28,0,0,"113788",35.5,"A6","Southampton"
"25","25","0","3","Palsson,_Miss._Torborg_Danira","female",8,3,1,"349909",21.075,"","Southampton"
"26","26","1","3","Asplund,_Mrs._Carl_Oscar_(Selma_Augusta_Emilia_Johansson)","female",38,1,5,"347077",31.3875,"","Southampton"
"27","27","0","3","Emir,_Mr._Farred_Chehab","male",31.6938177854552,0,0,"2631",7.225,"","Cherbourg"
